Data Point Listing of File C:\Users\set.a.m2s.036\Documents\Aris\CPMG_silicon_oil_20251204.tnt
Starting Point:	1	Ending Point:	40000
Starting 2D Record:	1	Ending Record:	1
Real	Imag	usec
203477.000	-408492.000	824.000
157280.000	-323512.000	828.000
8012.000	-526764.000	832.000
39722.000	-616348.000	836.000
104660.000	-674128.000	840.000
188819.000	-664547.000	844.000
229646.000	-592151.000	848.000
233162.000	-498343.000	852.000
200765.000	-404894.000	856.000
151993.000	-321381.000	860.000
7146.000	-526611.000	864.000
38336.000	-617521.000	868.000
106351.000	-673578.000	872.000
187345.000	-664665.000	876.000
232128.000	-590720.000	880.000
232964.000	-496973.000	884.000
202666.000	-406268.000	888.000
154030.000	-322172.000	892.000
9577.000	-523521.000	896.000
39163.000	-615309.000	900.000
104334.000	-671787.000	904.000
184763.000	-659862.000	908.000
228664.000	-587475.000	912.000
230853.000	-497703.000	916.000
201879.000	-405614.000	920.000
155380.000	-320651.000	924.000
3405.000	-522491.000	928.000
37042.000	-612493.000	932.000
102877.000	-670933.000	936.000
189623.000	-663091.000	940.000
232485.000	-588868.000	944.000
231318.000	-493809.000	948.000
202421.000	-404590.000	952.000
156403.000	-317132.000	956.000
9056.000	-520282.000	960.000
38875.000	-612238.000	964.000
106622.000	-670316.000	968.000
184571.000	-655896.000	972.000
230704.000	-583114.000	976.000
231393.000	-493344.000	980.000
200647.000	-402977.000	984.000
154256.000	-318355.000	988.000
6285.000	-522383.000	992.000
38874.000	-609183.000	996.000
103805.000	-667873.000	1000.000
186745.000	-660205.000	1004.000
231006.000	-583112.000	1008.000
231115.000	-492330.000	1012.000
200781.000	-400093.000	1016.000
153980.000	-317323.000	1020.000
7619.000	-518787.000	1024.000
41420.000	-606373.000	1028.000
109682.000	-664081.000	1032.000
189170.000	-655551.000	1036.000
234288.000	-581734.000	1040.000
231564.000	-490144.000	1044.000
200892.000	-401125.000	1048.000
149452.000	-316256.000	1052.000
4978.000	-517116.000	1056.000
35048.000	-608185.000	1060.000
103223.000	-666473.000	1064.000
185815.000	-654934.000	1068.000
231228.000	-584089.000	1072.000
230692.000	-492409.000	1076.000
200072.000	-401221.000	1080.000
152536.000	-317142.000	1084.000
4012.000	-517985.000	1088.000
35869.000	-606952.000	1092.000
101575.000	-663074.000	1096.000
184195.000	-655566.000	1100.000
228260.000	-579328.000	1104.000
230216.000	-489896.000	1108.000
199789.000	-397990.000	1112.000
154837.000	-314464.000	1116.000
8527.000	-519474.000	1120.000
38854.000	-607185.000	1124.000
108151.000	-660404.000	1128.000
186824.000	-652827.000	1132.000
233114.000	-580103.000	1136.000
230087.000	-487453.000	1140.000
198936.000	-396446.000	1144.000
152589.000	-314047.000	1148.000
4741.000	-515946.000	1152.000
37078.000	-605157.000	1156.000
102035.000	-661032.000	1160.000
185120.000	-649951.000	1164.000
229482.000	-576397.000	1168.000
228946.000	-489445.000	1172.000
197348.000	-399323.000	1176.000
153709.000	-313963.000	1180.000
6178.000	-513691.000	1184.000
35411.000	-603524.000	1188.000
106096.000	-659442.000	1192.000
186410.000	-648634.000	1196.000
228661.000	-577373.000	1200.000
229127.000	-487211.000	1204.000
197842.000	-398237.000	1208.000
152798.000	-313912.000	1212.000
5480.000	-513436.000	1216.000
37738.000	-600166.000	1220.000
101678.000	-659187.000	1224.000
184107.000	-645570.000	1228.000
224732.000	-577472.000	1232.000
227188.000	-483325.000	1236.000
196124.000	-395827.000	1240.000
153813.000	-311515.000	1244.000
6747.000	-513065.000	1248.000
36448.000	-602661.000	1252.000
100654.000	-658697.000	1256.000
184915.000	-648777.000	1260.000
228434.000	-575003.000	1264.000
227041.000	-486129.000	1268.000
197214.000	-397344.000	1272.000
149734.000	-310407.000	1276.000
2286.000	-511783.000	1280.000
38577.000	-598161.000	1284.000
103235.000	-657094.000	1288.000
185928.000	-645857.000	1292.000
230062.000	-573055.000	1296.000
230736.000	-483550.000	1300.000
197923.000	-391473.000	1304.000
148822.000	-309567.000	1308.000
3737.000	-512267.000	1312.000
36259.000	-598601.000	1316.000
103988.000	-653630.000	1320.000
182516.000	-643882.000	1324.000
227385.000	-572698.000	1328.000
225808.000	-481818.000	1332.000
197725.000	-393575.000	1336.000
150537.000	-311453.000	1340.000
3931.000	-511728.000	1344.000
36978.000	-599796.000	1348.000
104662.000	-652715.000	1352.000
