Data Point Listing of File C:\Users\set.a.m2s.036\Documents\Aris\CPMG_CuSO4_20251118.tnt
Starting Point:	1	Ending Point:	32000
Starting 2D Record:	1	Ending Record:	1
Real	Imag	usec
-2212.000	-18311.000	876.000
-4434.000	-13586.000	880.000
0.000	0.000	884.000
0.000	0.000	888.000
0.000	0.000	892.000
1940.000	-4973.000	896.000
3740.000	-12084.000	900.000
1350.000	-16705.000	904.000
-2162.000	-18020.000	908.000
-4136.000	-13632.000	912.000
0.000	0.000	916.000
0.000	0.000	920.000
0.000	0.000	924.000
1645.000	-4782.000	928.000
2985.000	-11681.000	932.000
789.000	-16488.000	936.000
-2732.000	-17730.000	940.000
-4554.000	-13286.000	944.000
0.000	0.000	948.000
0.000	0.000	952.000
0.000	0.000	956.000
1895.000	-5019.000	960.000
3409.000	-12147.000	964.000
1378.000	-16417.000	968.000
-2058.000	-17355.000	972.000
-4476.000	-12822.000	976.000
0.000	0.000	980.000
0.000	0.000	984.000
0.000	0.000	988.000
1409.000	-5050.000	992.000
2781.000	-12410.000	996.000
1224.000	-17164.000	1000.000
-1894.000	-18601.000	1004.000
-4229.000	-13956.000	1008.000
0.000	0.000	1012.000
0.000	0.000	1016.000
0.000	0.000	1020.000
1998.000	-4600.000	1024.000
3727.000	-11715.000	1028.000
1647.000	-16758.000	1032.000
-1804.000	-18119.000	1036.000
-4025.000	-13717.000	1040.000
0.000	0.000	1044.000
0.000	0.000	1048.000
0.000	0.000	1052.000
1896.000	-5118.000	1056.000
3238.000	-12342.000	1060.000
1308.000	-16335.000	1064.000
-2344.000	-16890.000	1068.000
-4616.000	-12239.000	1072.000
0.000	0.000	1076.000
0.000	0.000	1080.000
0.000	0.000	1084.000
1794.000	-5343.000	1088.000
3325.000	-12587.000	1092.000
1551.000	-17064.000	1096.000
-2110.000	-17975.000	1100.000
-4562.000	-13390.000	1104.000
0.000	0.000	1108.000
0.000	0.000	1112.000
0.000	0.000	1116.000
1630.000	-5071.000	1120.000
3003.000	-12091.000	1124.000
1309.000	-16179.000	1128.000
-1841.000	-16690.000	1132.000
-4078.000	-12082.000	1136.000
0.000	0.000	1140.000
0.000	0.000	1144.000
0.000	0.000	1148.000
2519.000	-4773.000	1152.000
4438.000	-11870.000	1156.000
1896.000	-16572.000	1160.000
-1873.000	-17452.000	1164.000
-4461.000	-12971.000	1168.000
0.000	0.000	1172.000
0.000	0.000	1176.000
0.000	0.000	1180.000
2135.000	-5325.000	1184.000
3702.000	-13044.000	1188.000
1240.000	-17046.000	1192.000
-2104.000	-17622.000	1196.000
-3961.000	-12655.000	1200.000
0.000	0.000	1204.000
0.000	0.000	1208.000
0.000	0.000	1212.000
2020.000	-4999.000	1216.000
3785.000	-12097.000	1220.000
1916.000	-16625.000	1224.000
-1268.000	-17451.000	1228.000
-3564.000	-12878.000	1232.000
0.000	0.000	1236.000
0.000	0.000	1240.000
0.000	0.000	1244.000
1969.000	-4398.000	1248.000
3705.000	-11065.000	1252.000
1620.000	-15781.000	1256.000
-1836.000	-16903.000	1260.000
-4232.000	-12530.000	1264.000
0.000	0.000	1268.000
0.000	0.000	1272.000
0.000	0.000	1276.000
2141.000	-5396.000	1280.000
4185.000	-13023.000	1284.000
2245.000	-17284.000	1288.000
-1467.000	-18167.000	1292.000
-4120.000	-13523.000	1296.000
0.000	0.000	1300.000
0.000	0.000	1304.000
0.000	0.000	1308.000
1806.000	-4971.000	1312.000
3153.000	-11821.000	1316.000
1198.000	-16309.000	1320.000
-2601.000	-17366.000	1324.000
-4924.000	-13027.000	1328.000
0.000	0.000	1332.000
0.000	0.000	1336.000
0.000	0.000	1340.000
1271.000	-5639.000	1344.000
2450.000	-13272.000	1348.000
695.000	-17232.000	1352.000
-2385.000	-17498.000	1356.000
-4769.000	-12441.000	1360.000
0.000	0.000	1364.000
0.000	0.000	1368.000
0.000	0.000	1372.000
1675.000	-4676.000	1376.000
3414.000	-11420.000	1380.000
1709.000	-15715.000	1384.000
-1858.000	-16535.000	1388.000
-4538.000	-12415.000	1392.000
0.000	0.000	1396.000
0.000	0.000	1400.000
0.000	0.000	1404.000
1501.000	-5483.000	1408.000
2759.000	-12952.000	1412.000
1070.000	-17430.000	1416.000
-2179.000	-18288.000	1420.000
-4528.000	-13562.000	1424.000
0.000	0.000	1428.000
0.000	0.000	1432.000
0.000	0.000	1436.000
1674.000	-5144.000	1440.000
3175.000	-12253.000	1444.000
1458.000	-16454.000	1448.000
-2045.000	-17140.000	1452.000
-4532.000	-12307.000	1456.000
0.000	0.000	1460.000
0.000	0.000	1464.000
0.000	0.000	1468.000
1671.000	-4992.000	1472.000
2865.000	-12129.000	1476.000
1113.000	-16337.000	1480.000
-2361.000	-17297.000	1484.000
-4839.000	-12662.000	1488.000
0.000	0.000	1492.000
0.000	0.000	1496.000
0.000	0.000	1500.000
1775.000	-5206.000	1504.000
3385.000	-12389.000	1508.000
1406.000	-16609.000	1512.000
-2246.000	-17389.000	1516.000
-4515.000	-12964.000	1520.000
0.000	0.000	1524.000
0.000	0.000	1528.000
0.000	0.000	1532.000
1906.000	-5759.000	1536.000
3378.000	-13332.000	1540.000
1102.000	-17192.000	1544.000
-2660.000	-17713.000	1548.000
-4832.000	-12748.000	1552.000
0.000	0.000	1556.000
0.000	0.000	1560.000
0.000	0.000	1564.000
1823.000	-5400.000	1568.000
3404.000	-12526.000	1572.000
1459.000	-16524.000	1576.000
-1655.000	-16960.000	1580.000
-3753.000	-12115.000	1584.000
0.000	0.000	1588.000
0.000	0.000	1592.000
0.000	0.000	1596.000
1582.000	-5023.000	1600.000
3098.000	-12203.000	1604.000
1480.000	-16691.000	1608.000
-1771.000	-17879.000	1612.000
-4063.000	-13405.000	1616.000
0.000	0.000	1620.000
0.000	0.000	1624.000
0.000	0.000	1628.000
1889.000	-5307.000	1632.000
3486.000	-12731.000	1636.000
1500.000	-16916.000	1640.000
-2023.000	-17690.000	1644.000
-4281.000	-13172.000	1648.000
0.000	0.000	1652.000
0.000	0.000	1656.000
0.000	0.000	1660.000
1754.000	-5108.000	1664.000
3243.000	-12213.000	1668.000
